regMid,regEnd,Final,attendance,status
45,61,22,79,Summer course (Final < 25)
34,31,13,86,Summer course (Final < 25)
44,42,63,79,Summer course (low mid/end)
45,49,78,41,Summer course (low attendance)
49,0,30,58,Fail (total < 45)
61,93,100,56,Summer course (low attendance)
6,6,75,79,Summer course (low mid/end)
23,28,42,74,Fail (total < 45)
64,63,66,83,Pass (after retake)
65,64,61,93,Pass (after retake)
94,37,92,42,Summer course (low attendance)
52,46,44,72,Fail (total < 50)
5,79,10,100,Summer course (Final < 25)
55,24,0,71,Summer course (Final < 25)
35,7,36,59,Fail (total < 45)
46,57,59,78,FX  (retake opportunity)
55,55,59,67,FX  (retake opportunity)
45,31,12,62,Summer course (Final < 25)
27,44,72,67,Summer course (low mid/end)
68,52,92,44,Summer course (low attendance)
54,11,38,81,Fail (total < 45)
10,40,54,87,Summer course (low mid/end)
60,53,57,68,FX  (retake opportunity)
36,41,64,80,Summer course (low mid/end)
42,20,23,96,Summer course (Final < 25)
40,17,4,54,Fail (total < 45)
27,4,69,72,Summer course (low mid/end)
83,28,21,69,Summer course (Final < 25)
52,49,4,85,Summer course (Final < 25)
65,60,62,74,Pass (after retake)
57,58,71,90,Pass (after retake)
65,68,61,93,Pass (after retake)
95,100,89,53,Summer course (low attendance)
8,12,73,95,Summer course (low mid/end)
65,44,15,84,Summer course (Final < 25)
58,44,67,49,Summer course (low attendance)
9,3,79,92,Summer course (low mid/end)
53,78,88,56,Summer course (low attendance)
22,48,61,69,Summer course (low mid/end)
29,64,1,56,Summer course (Final < 25)
22,45,26,76,Fail (total < 45)
46,40,68,94,Summer course (low mid/end)
51,88,76,50,Summer course (low attendance)
27,32,5,64,Fail (total < 45)
73,63,63,83,Pass (after retake)
66,83,10,56,Summer course (Final < 25)
43,0,40,68,Fail (total < 45)
77,88,87,88,Pass
34,45,0,75,Fail (total < 45)
66,63,63,94,Pass (after retake)
50,94,49,51,Summer course (low attendance)
39,40,7,77,Summer course (Final < 25)
0,49,60,70,Summer course (low mid/end)
27,21,73,84,Summer course (low mid/end)
14,38,70,91,Summer course (low mid/end)
25,77,19,63,Summer course (Final < 25)
16,10,20,68,Summer course (Final < 25)
30,50,25,76,Fail (total < 45)
49,47,34,88,Fail (total < 50)
70,70,69,86,Pass (after retake)
95,50,98,41,Summer course (low attendance)
24,24,81,76,Summer course (low mid/end)
76,51,68,56,Summer course (low attendance)
67,61,71,45,Summer course (low attendance)
27,46,50,81,Summer course (low mid/end)
77,22,20,84,Summer course (Final < 25)
49,97,63,40,Summer course (low attendance)
98,79,82,56,Summer course (low attendance)
54,57,57,92,FX  (retake opportunity)
67,68,70,73,Pass (after retake)
53,58,3,56,Summer course (Final < 25)
0,43,78,93,Summer course (low mid/end)
87,96,88,99,Scholarship
38,5,66,100,Summer course (low mid/end)
96,53,48,58,Summer course (low attendance)
93,0,22,91,Summer course (Final < 25)
6,16,66,77,Summer course (low mid/end)
47,49,53,83,FX  (retake opportunity)
93,46,41,48,Summer course (low attendance)
5,33,69,78,Summer course (low mid/end)
45,43,59,89,Summer course (low mid/end)
35,44,33,71,Fail (total < 50)
30,85,16,67,Summer course (Final < 25)
48,32,1,79,Summer course (Final < 25)
74,78,69,84,Pass
42,55,11,82,Summer course (Final < 25)
0,58,19,66,Summer course (Final < 25)
3,13,68,97,Summer course (low mid/end)
21,67,11,100,Summer course (Final < 25)
88,92,94,98,Scholarship
52,59,53,96,FX  (retake opportunity)
90,3,22,53,Summer course (Final < 25)
48,57,96,44,Summer course (low attendance)
82,47,14,83,Summer course (Final < 25)
16,23,75,72,Summer course (low mid/end)
90,72,72,46,Summer course (low attendance)
3,44,0,49,Summer course (Final < 25)
80,56,69,49,Summer course (low attendance)
49,16,63,98,Summer course (low mid/end)
32,37,38,71,Fail (total < 50)
22,32,22,54,Fail (total < 45)
32,11,66,84,Summer course (low mid/end)
100,44,39,50,Summer course (low attendance)
53,55,53,61,FX  (retake opportunity)
17,41,54,92,Summer course (low mid/end)
56,47,60,70,FX  (retake opportunity)
82,59,99,50,Summer course (low attendance)
61,84,63,52,Summer course (low attendance)
66,72,90,47,Summer course (low attendance)
55,62,57,68,FX  (retake opportunity)
80,92,67,100,Pass
22,28,60,83,Summer course (low mid/end)
33,51,35,91,Fail (total < 50)
56,12,2,50,Summer course (Final < 25)
100,66,13,84,Summer course (Final < 25)
39,29,36,74,Fail (total < 50)
62,51,49,70,FX  (retake opportunity)
14,34,3,61,Fail (total < 45)
63,48,63,43,Summer course (low attendance)
18,76,3,92,Summer course (Final < 25)
5,27,67,75,Summer course (low mid/end)
28,42,29,92,Fail (total < 50)
9,26,35,72,Fail (total < 45)
99,77,62,53,Summer course (low attendance)
58,65,65,76,Pass (after retake)
55,61,57,76,FX  (retake opportunity)
72,82,75,95,Pass
96,55,80,43,Summer course (low attendance)
18,46,70,77,Summer course (low mid/end)
41,32,0,70,Summer course (Final < 25)
62,57,18,75,Summer course (Final < 25)
78,70,63,44,Summer course (low attendance)
93,73,79,51,Summer course (low attendance)
51,25,4,100,Summer course (Final < 25)
62,66,67,91,Pass (after retake)
52,93,77,55,Summer course (low attendance)
47,21,21,71,Summer course (Final < 25)
62,72,17,82,Summer course (Final < 25)
34,36,35,74,Fail (total < 50)
23,0,55,89,Summer course (low mid/end)
64,68,65,81,Pass (after retake)
73,88,92,49,Summer course (low attendance)
52,55,55,99,FX  (retake opportunity)
76,82,99,58,Summer course (low attendance)
83,73,79,45,Summer course (low attendance)
53,56,56,70,FX  (retake opportunity)
54,57,56,65,FX  (retake opportunity)
84,66,8,50,Summer course (Final < 25)
80,79,71,40,Summer course (low attendance)
57,58,56,75,FX  (retake opportunity)
90,90,60,50,Summer course (low attendance)
89,64,47,42,Summer course (low attendance)
64,58,68,88,Pass (after retake)
60,47,58,79,FX  (retake opportunity)
64,63,64,95,Pass (after retake)
65,62,69,77,Pass (after retake)
48,46,50,75,FX  (retake opportunity)
7,9,20,43,Fail (total < 45)
96,61,89,46,Summer course (low attendance)
86,54,78,50,Summer course (low attendance)
78,86,23,85,Summer course (Final < 25)
95,44,7,65,Summer course (Final < 25)
72,55,100,58,Summer course (low attendance)
63,62,72,87,Pass (after retake)
51,58,58,79,FX  (retake opportunity)
34,18,77,75,Summer course (low mid/end)
57,50,63,73,FX  (retake opportunity)
63,69,60,80,Pass (after retake)
48,84,86,44,Summer course (low attendance)
69,55,4,50,Summer course (Final < 25)
86,49,4,59,Summer course (Final < 25)
19,23,15,87,Summer course (Final < 25)
24,27,0,59,Fail (total < 45)
40,0,57,89,Summer course (low mid/end)
65,13,2,75,Summer course (Final < 25)
30,41,64,69,Summer course (low mid/end)
39,53,61,86,Summer course (low mid/end)
82,65,92,58,Summer course (low attendance)
58,78,87,47,Summer course (low attendance)
71,65,71,83,Pass (after retake)
62,69,61,82,Pass (after retake)
48,36,61,92,Summer course (low mid/end)
23,24,60,82,Summer course (low mid/end)
39,68,69,46,Summer course (low attendance)
63,85,75,54,Summer course (low attendance)
65,85,53,43,Summer course (low attendance)
6,38,82,73,Summer course (low mid/end)
60,65,64,70,Pass (after retake)
43,9,78,77,Summer course (low mid/end)
53,51,56,74,FX  (retake opportunity)
93,66,96,51,Summer course (low attendance)
44,27,60,82,Summer course (low mid/end)
29,37,29,88,Fail (total < 50)
64,59,59,97,Pass (after retake)
66,49,90,54,Summer course (low attendance)
55,50,46,91,FX  (retake opportunity)
85,62,7,62,Summer course (Final < 25)
59,90,14,100,Summer course (Final < 25)
28,45,53,94,Summer course (low mid/end)
68,59,63,87,Pass (after retake)
68,70,74,89,Pass
49,56,54,94,FX  (retake opportunity)
84,58,80,47,Summer course (low attendance)
19,39,60,83,Summer course (low mid/end)
55,53,61,80,FX  (retake opportunity)
83,5,4,65,Summer course (Final < 25)
90,96,10,93,Summer course (Final < 25)
7,20,73,86,Summer course (low mid/end)
73,61,65,91,Pass (after retake)
92,25,11,74,Summer course (Final < 25)
44,44,44,63,Fail (total < 50)
80,93,12,69,Summer course (Final < 25)
41,30,72,84,Summer course (low mid/end)
65,72,66,84,Pass (after retake)
53,89,16,82,Summer course (Final < 25)
54,59,51,57,FX  (retake opportunity)
7,5,1,56,Summer course (Final < 25)
20,8,6,94,Summer course (Final < 25)
10,17,62,69,Summer course (low mid/end)
29,19,7,54,Summer course (Final < 25)
34,40,3,56,Summer course (Final < 25)
55,37,0,65,Summer course (Final < 25)
97,65,65,54,Summer course (low attendance)
51,49,51,92,FX  (retake opportunity)
51,54,52,65,FX  (retake opportunity)
53,54,62,88,FX  (retake opportunity)
79,59,62,58,Summer course (low attendance)
73,56,60,78,Pass (after retake)
64,59,59,72,Pass (after retake)
28,30,33,64,Fail (total < 45)
83,15,12,62,Summer course (Final < 25)
65,43,5,70,Summer course (Final < 25)
93,91,91,100,Scholarship
54,55,56,75,FX  (retake opportunity)
38,40,35,67,Fail (total < 50)
58,52,56,81,FX  (retake opportunity)
37,41,41,77,Fail (total < 50)
62,72,59,91,Pass (after retake)
73,47,8,88,Summer course (Final < 25)
40,39,27,84,Fail (total < 50)
21,32,64,96,Summer course (low mid/end)
60,55,57,88,FX  (retake opportunity)
45,93,9,84,Summer course (Final < 25)
99,96,44,52,Summer course (low attendance)
86,83,79,87,Pass
86,58,100,44,Summer course (low attendance)
31,74,18,69,Summer course (Final < 25)
60,95,22,96,Summer course (Final < 25)
67,61,8,94,Summer course (Final < 25)
62,48,82,42,Summer course (low attendance)
42,34,53,81,Summer course (low mid/end)
47,74,28,80,Summer course (Final < 25)
60,20,13,56,Summer course (Final < 25)
6,45,64,99,Summer course (low mid/end)
60,63,59,79,Pass (after retake)
28,7,57,77,Summer course (low mid/end)
78,30,1,50,Summer course (Final < 25)
89,73,69,90,Pass
44,34,16,70,Summer course (Final < 25)
7,40,64,74,Summer course (low mid/end)
70,54,6,96,Summer course (Final < 25)
64,15,12,62,Summer course (Final < 25)
63,55,65,98,Pass (after retake)
94,39,6,100,Summer course (Final < 25)
49,24,67,87,Summer course (low mid/end)
55,26,16,68,Summer course (Final < 25)
0,66,19,72,Summer course (Final < 25)
54,92,87,43,Summer course (low attendance)
85,93,44,50,Summer course (low attendance)
16,52,66,85,Summer course (low mid/end)
89,62,11,87,Summer course (Final < 25)
59,55,55,88,FX  (retake opportunity)
55,47,25,69,Summer course (Final < 25)
7,37,75,81,Summer course (low mid/end)
81,2,15,74,Summer course (Final < 25)
44,0,61,89,Summer course (low mid/end)
95,53,94,58,Summer course (low attendance)
23,79,26,73,Summer course (Final < 25)
12,26,81,69,Summer course (low mid/end)
19,8,64,90,Summer course (low mid/end)
59,65,20,83,Summer course (Final < 25)
32,42,6,41,Fail (total < 45)
63,61,68,98,Pass (after retake)
73,81,81,90,Pass
30,28,58,87,Summer course (low mid/end)
73,58,0,62,Summer course (Final < 25)
2,31,61,78,Summer course (low mid/end)
32,42,47,92,Fail (total < 50)
50,59,50,84,FX  (retake opportunity)
95,39,86,53,Summer course (low attendance)
70,100,15,60,Summer course (Final < 25)
44,72,46,52,Summer course (low attendance)
89,86,85,56,Summer course (low attendance)
36,67,1,65,Summer course (Final < 25)
88,16,23,76,Summer course (Final < 25)
72,63,63,97,Pass (after retake)
31,38,57,84,Summer course (low mid/end)
55,42,100,41,Summer course (low attendance)
99,67,54,48,Summer course (low attendance)
25,17,5,72,Summer course (Final < 25)
38,25,55,72,Summer course (low mid/end)
3,35,32,40,Fail (total < 45)
91,59,100,60,Summer course (low attendance)
24,19,60,100,Summer course (low mid/end)
73,61,44,51,Summer course (low attendance)
83,77,92,98,Pass
65,63,74,85,Pass (after retake)
50,14,43,82,Fail (total < 45)
50,51,0,94,Summer course (Final < 25)
0,33,64,83,Summer course (low mid/end)
56,53,52,65,FX  (retake opportunity)
46,37,37,73,Fail (total < 50)
100,63,74,43,Summer course (low attendance)
40,33,80,78,Summer course (low mid/end)
55,54,53,72,FX  (retake opportunity)
37,24,50,99,Summer course (low mid/end)
0,32,24,97,Summer course (Final < 25)
3,0,42,60,Fail (total < 45)
12,62,22,92,Summer course (Final < 25)
92,64,63,52,Summer course (low attendance)
43,36,74,77,Summer course (low mid/end)
90,87,74,47,Summer course (low attendance)
13,14,22,52,Fail (total < 45)
34,87,7,84,Summer course (Final < 25)
65,5,6,69,Summer course (Final < 25)
35,45,15,63,Summer course (Final < 25)
28,10,10,90,Summer course (Final < 25)
30,18,2,91,Summer course (Final < 25)
35,42,38,41,Fail (total < 45)
62,62,68,95,Pass (after retake)
69,29,11,55,Summer course (Final < 25)
87,61,86,42,Summer course (low attendance)
60,71,67,90,Pass (after retake)
37,3,59,95,Summer course (low mid/end)
58,61,64,79,Pass (after retake)
44,42,48,85,Summer course (low mid/end)
10,49,75,85,Summer course (low mid/end)
47,94,51,46,Summer course (low attendance)
55,100,66,52,Summer course (low attendance)
61,49,59,71,FX  (retake opportunity)
37,51,60,96,Summer course (low mid/end)
87,64,14,81,Summer course (Final < 25)
68,64,64,70,Pass (after retake)
26,41,63,78,Summer course (low mid/end)
63,0,15,57,Summer course (Final < 25)
84,22,20,84,Summer course (Final < 25)
1,33,83,70,Summer course (low mid/end)
57,57,55,76,FX  (retake opportunity)
54,56,48,72,FX  (retake opportunity)
44,62,67,44,Summer course (low attendance)
86,100,95,45,Summer course (low attendance)
48,60,60,87,FX  (retake opportunity)
67,65,61,88,Pass (after retake)
69,99,89,40,Summer course (low attendance)
30,43,39,95,Fail (total < 50)
21,8,74,96,Summer course (low mid/end)
25,21,20,70,Summer course (Final < 25)
64,43,94,44,Summer course (low attendance)
74,68,61,93,Pass (after retake)
16,23,13,59,Fail (total < 45)
35,10,19,55,Fail (total < 45)
70,17,19,97,Summer course (Final < 25)
56,54,57,77,FX  (retake opportunity)
52,37,74,58,Summer course (low attendance)
7,41,59,81,Summer course (low mid/end)
74,57,64,58,Summer course (low attendance)
23,19,21,49,Fail (total < 45)
65,66,68,85,Pass (after retake)
91,82,75,100,Pass
35,23,15,90,Summer course (Final < 25)
4,38,8,56,Summer course (Final < 25)
48,63,67,50,Summer course (low attendance)
71,76,67,46,Summer course (low attendance)
60,41,74,52,Summer course (low attendance)
78,88,100,53,Summer course (low attendance)
34,34,32,72,Fail (total < 50)
54,59,58,72,FX  (retake opportunity)
87,81,9,65,Summer course (Final < 25)
75,88,55,54,Summer course (low attendance)
57,47,53,96,FX  (retake opportunity)
32,6,82,78,Summer course (low mid/end)
88,52,0,79,Summer course (Final < 25)
40,7,69,75,Summer course (low mid/end)
96,54,91,47,Summer course (low attendance)
87,17,0,62,Summer course (Final < 25)
51,88,77,40,Summer course (low attendance)
92,27,17,60,Summer course (Final < 25)
69,65,56,99,Pass (after retake)
52,65,83,53,Summer course (low attendance)
54,53,55,76,FX  (retake opportunity)
49,59,51,86,FX  (retake opportunity)
53,47,54,72,FX  (retake opportunity)
31,63,15,52,Summer course (Final < 25)
46,93,15,85,Summer course (Final < 25)
62,61,67,71,Pass (after retake)
89,47,59,59,Summer course (low attendance)
29,16,1,70,Summer course (Final < 25)
66,58,68,91,Pass (after retake)
90,83,82,83,Pass
83,91,100,40,Summer course (low attendance)
67,72,64,76,Pass (after retake)
78,26,20,61,Summer course (Final < 25)
76,22,16,90,Summer course (Final < 25)
23,82,15,64,Summer course (Final < 25)
71,63,68,60,Summer course (low attendance)
84,44,92,40,Summer course (low attendance)
58,63,64,100,Pass (after retake)
44,16,66,92,Summer course (low mid/end)
49,40,70,79,Summer course (low mid/end)
95,87,3,70,Summer course (Final < 25)
87,51,93,53,Summer course (low attendance)
100,89,73,41,Summer course (low attendance)
30,14,32,54,Fail (total < 45)
31,28,60,79,Summer course (low mid/end)
31,51,13,51,Summer course (Final < 25)
0,36,71,81,Summer course (low mid/end)
71,55,60,88,Pass (after retake)
86,45,79,54,Summer course (low attendance)
38,0,55,88,Summer course (low mid/end)
46,4,80,87,Summer course (low mid/end)
87,84,80,95,Pass
60,58,59,86,Pass (after retake)
62,53,45,65,FX  (retake opportunity)
51,43,99,52,Summer course (low attendance)
19,57,0,96,Summer course (Final < 25)
55,78,72,51,Summer course (low attendance)
65,63,73,100,Pass (after retake)
0,33,57,98,Summer course (low mid/end)
59,0,24,53,Summer course (Final < 25)
38,14,66,73,Summer course (low mid/end)
11,98,0,54,Summer course (Final < 25)
62,63,62,94,Pass (after retake)
99,76,38,45,Summer course (low attendance)
47,60,50,60,Summer course (low attendance)
55,60,62,71,FX  (retake opportunity)
38,20,17,83,Summer course (Final < 25)
85,21,16,96,Summer course (Final < 25)
73,74,56,90,Pass (after retake)
92,100,70,58,Summer course (low attendance)
42,75,8,51,Summer course (Final < 25)
67,56,52,43,Summer course (low attendance)
79,39,18,57,Summer course (Final < 25)
47,79,5,80,Summer course (Final < 25)
62,59,67,85,Pass (after retake)
56,51,49,86,FX  (retake opportunity)
14,69,17,86,Summer course (Final < 25)
90,100,22,95,Summer course (Final < 25)
48,89,89,54,Summer course (low attendance)
3,19,26,60,Summer course (Final < 25)
77,53,79,47,Summer course (low attendance)
27,33,16,79,Summer course (Final < 25)
42,40,100,53,Summer course (low attendance)
80,0,1,74,Summer course (Final < 25)
94,96,97,96,Scholarship
79,36,14,90,Summer course (Final < 25)
61,61,58,87,Pass (after retake)
90,11,12,91,Summer course (Final < 25)
39,77,8,70,Summer course (Final < 25)
81,36,5,58,Summer course (Final < 25)
29,42,66,76,Summer course (low mid/end)
30,41,32,89,Fail (total < 50)
73,21,23,65,Summer course (Final < 25)
31,45,47,72,Fail (total < 50)
54,56,60,63,FX  (retake opportunity)
39,8,39,72,Fail (total < 45)
40,34,14,96,Summer course (Final < 25)
5,46,81,91,Summer course (low mid/end)
93,30,3,67,Summer course (Final < 25)
75,74,74,86,Pass
78,75,90,94,Pass
77,80,76,100,Pass
58,38,63,44,Summer course (low attendance)
32,44,42,79,Fail (total < 50)
63,80,66,52,Summer course (low attendance)
89,86,59,48,Summer course (low attendance)
28,20,62,81,Summer course (low mid/end)
57,56,55,85,FX  (retake opportunity)
40,89,86,44,Summer course (low attendance)
58,56,55,63,FX  (retake opportunity)
34,45,44,97,Fail (total < 50)
60,50,59,65,FX  (retake opportunity)
68,89,85,55,Summer course (low attendance)
59,91,65,60,Summer course (low attendance)
0,17,66,98,Summer course (low mid/end)
47,55,25,90,Summer course (Final < 25)
21,51,59,80,Summer course (low mid/end)
89,47,0,47,Summer course (Final < 25)
21,6,47,77,Summer course (low mid/end)
80,92,87,50,Summer course (low attendance)
54,69,87,45,Summer course (low attendance)
56,63,49,89,FX  (retake opportunity)
64,56,73,88,Pass (after retake)
84,77,75,90,Pass
34,31,83,95,Summer course (low mid/end)
57,53,60,82,FX  (retake opportunity)
41,87,75,54,Summer course (low attendance)
70,68,74,70,Pass (after retake)
63,97,27,68,Summer course (Final < 25)
61,91,99,52,Summer course (low attendance)
43,25,53,91,Summer course (low mid/end)
43,11,3,76,Summer course (Final < 25)
78,31,2,64,Summer course (Final < 25)
43,5,19,71,Summer course (Final < 25)
94,97,98,97,Scholarship
2,11,55,82,Summer course (low mid/end)
71,58,72,86,Pass (after retake)
89,70,85,97,Pass
94,52,21,76,Summer course (Final < 25)
82,100,75,57,Summer course (low attendance)
44,39,41,74,Fail (total < 50)
13,0,62,95,Summer course (low mid/end)
52,58,57,82,FX  (retake opportunity)
90,62,67,55,Summer course (low attendance)
50,46,51,87,FX  (retake opportunity)
59,100,94,58,Summer course (low attendance)
28,34,70,97,Summer course (low mid/end)
67,78,83,55,Summer course (low attendance)
52,24,9,96,Summer course (Final < 25)
39,11,17,96,Summer course (Final < 25)
46,25,21,65,Fail (total < 45)
88,70,60,46,Summer course (low attendance)
55,92,79,44,Summer course (low attendance)
94,91,21,69,Summer course (Final < 25)
37,56,5,83,Summer course (Final < 25)
64,62,63,85,Pass (after retake)
20,33,47,83,Summer course (low mid/end)
87,50,61,48,Summer course (low attendance)
27,19,26,59,Summer course (Final < 25)
54,49,50,67,FX  (retake opportunity)
5,32,15,42,Fail (total < 45)
5,92,24,61,Summer course (Final < 25)
14,14,2,62,Summer course (Final < 25)
97,100,61,49,Summer course (low attendance)
63,91,39,58,Summer course (low attendance)
9,42,24,43,Fail (total < 45)
83,68,1,70,Summer course (Final < 25)
18,88,5,56,Summer course (Final < 25)
79,94,9,82,Summer course (Final < 25)
88,44,61,52,Summer course (low attendance)
48,44,69,51,Summer course (low attendance)
23,0,30,63,Fail (total < 45)
33,24,56,81,Summer course (low mid/end)
38,34,8,56,Fail (total < 45)
77,75,73,81,Pass
86,78,81,90,Pass
35,54,30,75,Fail (total < 45)
47,55,50,76,FX  (retake opportunity)
13,54,60,84,Summer course (low mid/end)
81,0,16,63,Summer course (Final < 25)
96,8,0,85,Summer course (Final < 25)
32,29,55,81,Summer course (low mid/end)
75,87,22,81,Summer course (Final < 25)
10,53,17,90,Summer course (Final < 25)
67,64,64,87,Pass (after retake)
